step,time,strain_xx,stress_xx
0,0,0,0
1,0.0002,0.00012,0.476723
2,0.0004,0.00024,0.882119
3,0.0006,0.00036,1.28067
4,0.0008,0.00048,1.67763
5,0.001,0.0006,2.07422
6,0.0012,0.00072,2.47073
7,0.0014,0.00084,2.86721
8,0.0016,0.00096,3.2637
9,0.0018,0.00108,3.66018
10,0.002,0.0012,4.05666
11,0.0022,0.00132,4.45314
12,0.0024,0.00144,4.84962
13,0.0026,0.00156,5.2461
14,0.0028,0.00168,5.64258
15,0.003,0.0018,6.03906
16,0.0032,0.00192,6.43554
17,0.0034,0.00204,6.83202
18,0.0036,0.00216,7.2285
19,0.0038,0.00228,7.62498
20,0.004,0.0024,8.02146
21,0.0042,0.00252,8.41794
22,0.0044,0.00264,8.81442
23,0.0046,0.00276,9.2109
24,0.0048,0.00288,9.60738
25,0.005,0.003,10.0039
26,0.0052,0.00312,10.4003
27,0.0054,0.00324,10.7968
28,0.0056,0.00336,11.1933
29,0.0058,0.00348,11.5898
30,0.006,0.0036,11.9863
31,0.0062,0.00372,12.3827
32,0.0064,0.00384,12.7792
33,0.0066,0.00396,13.1757
34,0.0068,0.00408,13.5722
35,0.007,0.0042,13.9687
36,0.0072,0.00432,14.3651
37,0.0074,0.00444,14.7616
38,0.0076,0.00456,15.1581
39,0.0078,0.00468,15.5546
40,0.008,0.0048,15.9511
41,0.0082,0.00492,16.3475
42,0.0084,0.00504,16.744
43,0.0086,0.00516,17.1405
44,0.0088,0.00528,17.537
45,0.009,0.0054,17.9335
46,0.0092,0.00552,18.3299
47,0.0094,0.00564,18.7264
48,0.0096,0.00576,19.1229
49,0.0098,0.00588,19.5194
50,0.01,0.006,19.9159
51,0.0102,0.00612,20.3123
52,0.0104,0.00624,20.7088
53,0.0106,0.00636,21.1053
54,0.0108,0.00648,21.5018
55,0.011,0.0066,21.8983
56,0.0112,0.00672,22.2947
57,0.0114,0.00684,22.6912
58,0.0116,0.00696,23.0877
59,0.0118,0.00708,23.4842
60,0.012,0.0072,23.8807
61,0.0122,0.00732,24.2771
62,0.0124,0.00744,24.6736
63,0.0126,0.00756,25.0701
64,0.0128,0.00768,25.4666
65,0.013,0.0078,25.8631
66,0.0132,0.00792,26.2595
67,0.0134,0.00804,26.656
68,0.0136,0.00816,27.0525
69,0.0138,0.00828,27.449
70,0.014,0.0084,27.8455
71,0.0142,0.00852,28.2419
72,0.0144,0.00864,28.6384
73,0.0146,0.00876,29.0349
74,0.0148,0.00888,29.4314
75,0.015,0.009,29.8279
76,0.0152,0.00912,30.2243
77,0.0154,0.00924,30.6208
78,0.0156,0.00936,31.0173
79,0.0158,0.00948,31.4138
80,0.016,0.0096,31.8103
81,0.0162,0.00972,32.2067
82,0.0164,0.00984,32.6032
83,0.0166,0.00996,32.9997
84,0.0168,0.01008,33.3962
85,0.017,0.0102,33.7927
86,0.0172,0.01032,34.1891
87,0.0174,0.01044,34.5856
